code,name,quality_score,momentum_score,dividend_score,total_score,price
601021,601021,1.0,0.13515992441869878,0.4775,0.5975319848837397,48.2
002236,002236,0.9640500000000001,0.18871455708813495,0.4775,0.5956604114176269,18.07
601985,601985,0.4821233333333333,1.0,0.4775,0.5892431666666667,9.24
601669,601669,0.45165666666666665,1.0,0.4775,0.5785798333333333,7.19
002415,002415,0.80188,0.30467992358604723,0.4775,0.5620939847172095,31.16
000963,000963,0.7733766666666667,0.3019515382409571,0.4775,0.5515721409815247,34.93
300124,300124,0.6487499999999999,0.5166245899038261,0.4775,0.5508874179807652,72.79
600018,600018,0.5470166666666666,0.6544871704808818,0.4775,0.5428532674295097,5.18
000333,美的集团,0.6977733333333334,0.27363529797004227,0.4775,0.5194477262606751,77.17
002027,002027,0.5675399999999999,0.28853453147338376,0.4775,0.4768459062946767,6.87
002252,002252,0.5134500000000001,0.3247987436689223,0.4775,0.46516724873378446,6.23
601877,601877,0.0,1.0,0.4775,0.4205,39.05
000938,000938,0.005156666666666669,0.7777591260684578,0.4775,0.3778566585470249,25.8
601225,601225,0.0,0.7509931976754788,0.4775,0.37069863953509574,26.24
300059,300059,0.20983666666666664,0.10536980328037024,0.4775,0.31501679398940735,21.1
601919,601919,0.0,0.4452104549513654,0.4775,0.3095420909902731,15.78
002736,002736,0.0,0.39510453224428976,0.4775,0.299520906448858,12.21
000166,000166,0.0,0.37534914637386846,0.4775,0.2955698292747737,4.95
601788,601788,0.0,0.1993030292829429,0.4775,0.2603606058565886,16.13
600061,600061,0.0,0.1862022381906846,0.4775,0.2577404476381369,7.3
600570,600570,0.0,0.12297054276197461,0.4775,0.24509410855239494,27.29
600958,600958,0.0,0.10213563714040486,0.4775,0.24092712742808098,9.76
601211,601211,0.0,0.08279863070452985,0.4775,0.23705972614090598,17.94
601377,601377,0.0,0.08180866633764908,0.4775,0.23686173326752982,6.43
000776,000776,0.0,0.05497574701260481,0.4775,0.23149514940252097,19.32
601336,601336,0.0,0.03178636112812141,0.4775,0.2268572722256243,70.8
600115,600115,,0.12694552461220826,0.4775,,4.7
601766,601766,1.0,0.6963296542913985,0.4775,0.7097659308582797,6.42
600887,600887,1.0,0.6346746162270361,0.4775,0.6974349232454072,26.71
600406,600406,0.79055,0.5827290805213888,0.4775,0.6137383161042778,29.21
600588,600588,,0.10931344702327571,0.4775,,13.21
000876,000876,,0.7103892828453224,0.4775,,8.87
601600,601600,1.0,0.6055481664928328,0.4775,0.6916096332985665,14.08
600893,600893,1.0,0.3272736397295076,0.4775,0.6359547279459015,53.88
000338,000338,1.0,0.21545114592322254,0.4775,0.6135902291846445,25.01
600547,600547,1.0,0.19257398642621731,0.4775,0.6090147972852434,46.51
601186,601186,0.4274366666666667,1.0,0.4775,0.5701028333333333,7.51
601169,601169,0.48682,0.878306870250559,0.4775,0.5665483740501118,5.49
601628,601628,0.84831,0.05258504862728714,0.4775,0.5279255097254574,41.93
600276,恒瑞医药,0.6957366666666667,0.3067004723995959,0.4775,0.5253479278132525,54.94
601668,601668,0.37185,0.8553390179053472,0.4775,0.5217153035810694,5.15
601328,601328,0.37368,0.8235707949097083,0.4775,0.5160021589819417,6.85
601857,601857,0.5238133333333334,0.45390276488691733,0.4775,0.4946152196440502,12.05
601899,601899,0.70753,0.08102312728393633,0.4775,0.4843401254567873,35.77
601818,601818,0.34430666666666665,0.7139038012211268,0.4775,0.4837880935775587,3.33
601998,601998,0.3240766666666667,0.6993110472182567,0.4775,0.47378904277698464,7.51
601939,601939,0.24957666666666664,0.7847431026444043,0.4775,0.4648004538622142,9.15
601009,601009,0.5054200000000001,0.3102305610441013,0.4775,0.4594431122088203,11.18
002142,002142,0.5423600000000001,0.16667581630440026,0.4775,0.4436611632608801,31.15
601088,601088,0.0,1.0,0.4775,0.4205,47.95
002304,002304,0.49286,0.13623834846693536,0.4775,0.42024866969338703,51.17
601618,601618,0.0,0.939291625375502,0.4775,0.4083583250751004,3.31
601288,601288,0.2743533333333333,0.45432160637028196,0.4775,0.40738798794072306,6.62
000895,000895,0.0,0.8581497534606384,0.4775,0.3921299506921277,27.93
601601,601601,0.38941333333333333,0.12224784636264542,0.4775,0.38124423593919576,39.17
601318,中国平安,0.25282666666666664,0.11999124521065435,0.4775,0.3329875823754642,61.4
601390,601390,0.017759999999999998,0.5207316375871982,0.4775,0.33086232751743966,5.94
601166,601166,0.19419666666666666,0.20045139115759722,0.4775,0.3285591115648528,18.3
000100,000100,0.0,0.5281968779859426,0.4775,0.32613937559718853,4.87
601888,中国中免,0.29174333333333335,0.0,0.4775,0.32261016666666664,73.29
600999,600999,0.18230333333333335,0.11807930374511619,0.4775,0.3079220274156899,15.98
600111,600111,0.0,0.04043938161106596,0.4775,0.2285878763222132,50.82
601688,601688,0.0,0.03875544411081824,0.4775,0.22825108882216366,19.65
601111,601111,,0.10093385309901377,0.4775,,7.39
